1485.914: [GC 4092543K->2798368K(6143744K), 0.1175900 secs]
1491.208: [GC 4129053K->2821066K(6163968K), 0.1221020 secs]
1496.591: [GC 4140746K->2841389K(6164864K), 0.1076390 secs]
1501.705: [GC 4161069K->2880741K(6167424K), 0.1138940 secs]
1506.452: [GC 4206053K->2916670K(6138304K), 0.1173410 secs]
1511.794: [GC 4241982K->2901969K(6166144K), 0.0889050 secs]
1516.144: [GC 4223185K->2925765K(6165120K), 0.0838750 secs]
1520.409: [GC 4246981K->2951071K(6168384K), 0.1135800 secs]
1524.689: [GC 4276255K->2976371K(6166848K), 0.0831310 secs]
1529.012: [GC 4301555K->3000249K(6172672K), 0.0809660 secs]
1533.280: [GC 4333305K->3025413K(6170432K), 0.0809220 secs]
1537.474: [GC 4358469K->3050213K(6178176K), 0.0812330 secs]
1541.578: [GC 4393701K->3074536K(6175360K), 0.1021700 secs]
1545.777: [GC 4418024K->3099776K(6183936K), 0.0822250 secs]
1550.174: [GC 4454656K->3125578K(6180992K), 0.0819010 secs]
1554.466: [GC 4480458K->3150703K(6189888K), 0.0863720 secs]
1558.749: [GC 4517551K->3176823K(6187008K), 0.0874390 secs]
1563.173: [GC 4543671K->3201469K(6195904K), 0.0829370 secs]
1567.345: [GC 4580412K->3228924K(6193088K), 0.1281690 secs]
1571.495: [GC 4607868K->3254424K(6201856K), 0.0862410 secs]
1575.791: [GC 4645144K->3281731K(6198912K), 0.0972890 secs]
1580.290: [GC 4672451K->3341938K(6189888K), 0.1106650 secs]
1585.134: [GC 4726514K->3404569K(6197312K), 0.1585200 secs]
1590.841: [GC 4789145K->3473879K(6078656K), 0.1993010 secs]
1596.939: [GC 4739799K->3525735K(6086912K), 0.1655220 secs]
1602.483: [GC 4791655K->3556604K(6135552K), 0.1337470 secs]
1607.488: [GC 4818044K->3599722K(6092480K), 0.1376390 secs]
1612.911: [GC 4861162K->3635273K(6121280K), 0.1397890 secs]
1618.215: [GC 4878024K->3665727K(6078720K), 0.1458740 secs]
1623.792: [GC 4908478K->3688725K(6123712K), 0.1384570 secs]
1629.093: [GC 4925397K->3721649K(6123008K), 0.1355630 secs]
1633.822: [GC 4958321K->3691762K(6124608K), 0.0965650 secs]
1638.040: [GC 4930866K->3714829K(6124544K), 0.0874030 secs]
1641.586: [GC 4953933K->3738824K(6126080K), 0.0827250 secs]
1645.232: [GC 4979590K->3762789K(6124736K), 0.0814390 secs]
1648.782: [GC 5003557K->3786696K(6131328K), 0.0823480 secs]
1652.579: [GC 5036360K->3811332K(6128384K), 0.0853170 secs]
1656.344: [GC 5060996K->3835126K(6139008K), 0.0824720 secs]
1659.841: [GC 5099126K->3858937K(6135040K), 0.0816840 secs]
1663.382: [GC 5122937K->3884261K(6148032K), 0.0881210 secs]
1667.062: [GC 5165541K->3909631K(6143296K), 0.1055630 secs]
1670.763: [GC 5190911K->3934387K(6157696K), 0.0837400 secs]
1674.596: [GC 5234928K->3959750K(6152896K), 0.0969740 secs]
